DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
28Q099,P.S. 099 Kew Gardens,Q099,Q,102534.00,317388.00,219855.00,97533.00,184.00,0.24,45.00,0.06,302.00,0.39,40.00,0.05,210.00,0.27,0.73,161.00,0.21,97.00,0.12,481.00,0.62,0.55,781.00,406.39
31R023,P.S. 023 Richmondtown,R023,R,23401.69,217180.53,204875.54,12304.99,47.00,0.09,6.00,0.01,83.00,0.15,10.00,0.02,399.00,0.73,0.27,155.00,0.28,23.00,0.04,189.00,0.35,0.32,545.00,398.50
15K146,"The Brooklyn New School, P.S. 146",K146,K,46553.29,274238.41,273479.34,196404.98,32.00,0.05,126.00,0.18,158.00,0.23,94.00,0.14,284.00,0.41,0.59,202.00,0.29,29.00,0.04,232.00,0.33,0.37,694.00,395.16
15K032,P.S. 032 Samuel Mills Sprole,K032,K,96680.90,188980.47,199004.94,86656.43,47.00,0.10,102.00,0.21,107.00,0.22,26.00,0.05,198.00,0.41,0.59,123.00,0.26,20.00,0.04,200.00,0.42,0.42,480.00,393.71
13K009,P.S. 009 Teunis G. Bergen,K009,K,102247.00,364682.00,246517.00,118165.00,74.00,0.08,389.00,0.41,152.00,0.16,39.00,0.04,288.00,0.31,0.69,140.00,0.15,20.00,0.02,337.00,0.36,0.37,942.00,387.14
06M103,Dos Puentes Elementary School,M103,M,45090.55,158215.06,111695.51,46519.55,1.00,0.00,11.00,0.03,316.00,0.77,7.00,0.02,77.00,0.19,0.81,96.00,0.23,120.00,0.29,269.00,0.65,0.65,412.00,384.02
02M217,P.S./I.S. 217 Roosevelt Island,M217,M,198345.42,236036.84,196893.17,237487.09,179.00,0.29,83.00,0.14,88.00,0.14,43.00,0.07,224.00,0.36,0.64,84.00,0.14,86.00,0.14,204.00,0.33,0.29,617.00,382.56
02M412,N.Y.C. Lab School for Collaborative Studies,M412,M,87039.01,178058.26,132334.14,132763.13,88.00,0.19,17.00,0.04,58.00,0.12,42.00,0.09,266.00,0.57,0.44,94.00,0.20,3.00,0.01,123.00,0.26,0.29,471.00,378.04
31R009,Naples Street Elementary School,R009,R,7627.28,119210.55,126081.06,756.77,21.00,0.06,44.00,0.14,90.00,0.28,4.00,0.01,167.00,0.51,0.49,92.00,0.28,3.00,0.01,121.00,0.37,0.37,326.00,365.68
20K185,P.S. 185 Walter Kassenbrock,K185,K,47355.00,211787.00,188704.00,23083.00,45.00,0.07,7.00,0.01,135.00,0.21,19.00,0.03,428.00,0.68,0.33,107.00,0.17,42.00,0.07,273.00,0.43,0.41,634.00,334.05
01M364,Earth School,M364,M,121777.00,116000.00,106689.00,131088.00,25.00,0.07,38.00,0.11,141.00,0.40,28.00,0.08,118.00,0.34,0.66,93.00,0.27,21.00,0.06,195.00,0.56,0.57,350.00,331.43
02M418,Millennium High School,M418,M,96520.26,224501.26,131026.87,93474.39,320.00,0.47,26.00,0.04,75.00,0.11,42.00,0.06,218.00,0.32,0.68,84.00,0.12,5.00,0.01,336.00,0.49,0.47,681.00,329.66
26Q098,P.S. 098 The Douglaston School,Q098,Q,88273.67,92419.80,86635.63,94057.84,79.00,0.28,13.00,0.05,41.00,0.15,17.00,0.06,131.00,0.47,0.53,52.00,0.19,7.00,0.03,57.00,0.20,0.20,281.00,328.90
02M177,Yorkville East Middle School,M177,M,39816.70,72321.06,64661.87,47475.89,15.00,0.07,20.00,0.09,53.00,0.23,9.00,0.04,133.00,0.58,0.42,59.00,0.26,3.00,0.01,69.00,0.30,0.26,230.00,314.44
02M475,Stuyvesant High School,M475,M,576941.00,1028636.00,496612.00,532024.00,2425.00,0.73,29.00,0.01,100.00,0.03,137.00,0.04,625.00,0.19,0.81,17.00,0.01,0.00,0.00,1384.00,0.42,0.39,3316.00,310.20
27Q207,P.S. 207 Rockwood Park,Q207,Q,52535.09,212555.28,163294.90,49620.38,30.00,0.04,11.00,0.02,134.00,0.19,7.00,0.01,508.00,0.74,0.26,137.00,0.20,6.00,0.01,203.00,0.29,0.15,690.00,308.05
31R001,P.S. 001 Tottenville,R001,R,19147.00,135693.00,121890.00,13803.00,17.00,0.04,4.00,0.01,85.00,0.19,1.00,0.00,339.00,0.76,0.24,107.00,0.24,21.00,0.05,177.00,0.40,0.34,446.00,304.24
14K034,P.S. 034 Oliver H. Perry,K034,K,48285.01,142440.98,96238.00,94488.00,11.00,0.02,23.00,0.05,86.00,0.18,13.00,0.03,338.00,0.72,0.28,61.00,0.13,79.00,0.17,125.00,0.27,0.36,471.00,302.42
04M497,Central Park East I,M497,M,8259.05,56572.28,47806.00,17025.33,17.00,0.09,28.00,0.15,73.00,0.39,20.00,0.11,51.00,0.27,0.73,38.00,0.20,9.00,0.05,83.00,0.44,0.55,189.00,299.32
31R036,P.S. 036 J. C. Drumgoole,R036,R,47781.47,257414.03,219722.21,37691.82,63.00,0.07,2.00,0.00,143.00,0.17,13.00,0.02,645.00,0.75,0.26,199.00,0.23,32.00,0.04,320.00,0.37,0.28,866.00,297.24
14K031,P.S. 031 Samuel F. Dupont,K031,K,22860.27,181036.66,133109.92,47926.74,52.00,0.08,31.00,0.05,254.00,0.41,13.00,0.02,269.00,0.44,0.57,79.00,0.13,40.00,0.07,446.00,0.72,0.64,619.00,292.47
15K015,P.S. 015 Patrick F. Daly,K015,K,16561.30,141565.47,121823.64,19741.83,6.00,0.01,163.00,0.34,215.00,0.44,24.00,0.05,77.00,0.16,0.84,153.00,0.32,24.00,0.05,346.00,0.71,0.78,485.00,291.89
